ote 0x0F, read back 0x0F OK
  CTRL3: wrote 0x41, read back 0x41 OK
  CTRL4: wrote 0x1E, read back 0x1E OK
  CTRL5: wrote 0x0F, read back 0x0F OK
  sample  176:    10788  (running sum:   1867531, n_ok: 176)
  sample  177:    10979  (running sum:   1878510, n_ok: 177)
  sample  178:    11789  (running sum:   1890299, n_ok: 178)
  sample  179:    11901  (running sum:   1902200, n_ok: 179)
  sample  180:    11749  (running sum:   1913949, n_ok: 180)
  sample  181:    11615  (running sum:   1925564, n_ok: 181)
  sample  182:    11051  (running sum:   1936615, n_ok: 182)
  sample  183:    11034  (running sum:   1947649, n_ok: 183)
  sample  184:    10713  (running sum:   1958362, n_ok: 184)
  sample  185:    10669  (running sum:   1969031, n_ok: 185)
  sample  186:    10754  (running sum:   1979785, n_ok: 186)
  sample  187:    10776  (running sum:   1990561, n_ok: 187)
  sample  188:    10666  (running sum:   2001227, n_ok: 188)
  sample  189:    10711  (running sum:   2011938, n_ok: 189)
  sample  190:    10702  (running sum:   2022640, n_ok: 190)
  sample  191:    10660  (running sum:   2033300, n_ok: 191)
  sample  192:    10605  (running sum:   2043905, n_ok: 192)
  sample  193:    10727  (running sum:   2054632, n_ok: 193)
  sample  194:    10168  (running sum:   2064800, n_ok: 194)
  sample  195:     9582  (running sum:   2074382, n_ok: 195)
  sample  196:     9836  (running sum:   2084218, n_ok: 196)
  sample  197:     9919  (running sum:   2094137, n_ok: 197)
  sample  198:    10003  (running sum:   2104140, n_ok: 198)
  sample  199:    10566  (running sum:   2114706, n_ok: 199)
  sample  200:    10852  (running sum:   2125558, n_ok: 200)
  sample  201:    10738  (running sum:   2136296, n_ok: 201)
  sample  202:    10794  (running sum:   2147090, n_ok: 202)
  sample  203:    10793  (running sum:   2157883, n_ok: 203)
  sample  204:    10847  (running sum:   2168730, n_ok: 204)
  sample  205:    10998  (running sum:   2179728, n_ok: 205)
  sample  206:    11121  (running sum:   2190849, n_ok: 206)
  sample  207:    11091  (running sum:   2201940, n_ok: 207)
  sample  208:    11001  (running sum:   2212941, n_ok: 208)
  sample  209:    11119  (running sum:   2224060, n_ok: 209)
  sample  210:    11285  (running sum:   2235345, n_ok: 210)
  sample  211:    11646  (running sum:   2246991, n_ok: 211)
  sample  212:    12363  (running sum:   2259354, n_ok: 212)
  sample  213:    12024  (running sum:   2271378, n_ok: 213)
  sample  214:    11877  (running sum:   2283255, n_ok: 214)
  sample  215:    11800  (running sum:   2295055, n_ok: 215)
  sample  216:    11402  (running sum:   2306457, n_ok: 216)
  sample  217:    11331  (running sum:   2317788, n_ok: 217)
  sample  218:    11179  (running sum:   2328967, n_ok: 218)
  sample  219:    11195  (running sum:   2340162, n_ok: 219)
  sample  220:    11221  (running sum:   2351383, n_ok: 220)
  sample  221:    11296  (running sum:   2362679, n_ok: 221)
  sample  222:    10984  (running sum:   2373663, n_ok: 222)
  sample  223:    11091  (running sum:   2384754, n_ok: 223)
  sample  224:    10965  (running sum:   2395719, n_ok: 224)
  sample  225:    10883  (running sum:   2406602, n_ok: 225)
  sample  226:    10773  (running sum:   2417375, n_ok: 226)
  sample  227:    10398  (running sum:   2427773, n_ok: 227)
  sample  228:    10019  (running sum:   2437792, n_ok: 228)
  sample  229:     9684  (running sum:   2447476, n_ok: 229)
  sample  230:     9985  (running sum:   2457461, n_ok: 230)
  sample  231:     9924  (running sum:   2467385, n_ok: 231)
  sample  232:    10435  (running sum:   2477820, n_ok: 232)
  sample  233:    10786  (running sum:   2488606, n_ok: 233)
  sample  234:    10746  (running sum:   2499352, n_ok: 234)
  sample  235:    10710  (running sum:   2510062, n_ok: 235)
  sample  236:    10649  (running sum:   2520711, n_ok: 236)
  sample  237:    10484  (running sum:   2531195, n_ok: 237)
  sample  238:    10450  (running sum:   2541645, n_ok: 238)
  sample  239:    10335  (running sum:   2551980, n_ok: 239)
  sample  240:    10328  (running sum:   2562308, n_ok: 240)
  sample  241:    10218  (running sum:   2572526, n_ok: 241)
  sample  242:    10418  (running sum:   2582944, n_ok: 242)
  sample  243:    10343  (running sum:   2593287, n_ok: 243)
  sample  244:    10694  (running sum:   2603981, n_ok: 244)
  sample  245:    11480  (running sum:   2615461, n_ok: 245)
  sample  246:    11555  (running sum:   2627016, n_ok: 246)
  sample  247:    11426  (running sum:   2638442, n_ok: 247)
  sample  248:    11352  (running sum:   2649794, n_ok: 248)
  sample  249:    10683  (running sum:   2660477, n_ok: 249)
  sample  250:    10605  (running sum:   2671082, n_ok: 250)
  sample  251:    10250  (running sum:   2681332, n_ok: 251)
  sample  252:    10143  (running sum:   2691475, n_ok: 252)
  sample  253:    10158  (running sum:   2701633, n_ok: 253)
  sample  254:    10278  (running sum:   2711911, n_ok: 254)
  sample  255:    10336  (running sum:   2722247, n_ok: 255)
  sample  256:    10434  (running sum:   2732681, n_ok: 256)
  sample  257:    10537  (running sum:   2743218, n_ok: 257)
  sample  258:    10730  (running sum:   2753948, n_ok: 258)
  sample  259:    10610  (running sum:   2764558, n_ok: 259)
  sample  260:    10672  (running sum:   2775230, n_ok: 260)
  sample  261:    10041  (running sum:   2785271, n_ok: 261)
  sample  262:     9439  (running sum:   2794710, n_ok: 262)
  sample  263:     9578  (running sum:   2804288, n_ok: 263)
  sample  264:     9679  (running sum:   2813967, n_ok: 264)
  sample  265:     9933  (running sum:   2823900, n_ok: 265)
  sample  266:    10474  (running sum:   2834374, n_ok: 266)
  sample  267:    10758  (running sum:   2845132, n_ok: 267)
  sample  268:    10903  (running sum:   2856035, n_ok: 268)
  sample  269:    10992  (running sum:   2867027, n_ok: 269)
  sample  270:    10947  (running sum:   2877974, n_ok: 270)
  sample  271:    10893  (running sum:   2888867, n_ok: 271)
  sample  272:    10963  (running sum:   2899830, n_ok: 272)
  sample  273:    10904  (running sum:   2910734, n_ok: 273)
  sample  274:    10720  (running sum:   2921454, n_ok: 274)
  sample  275:    10604  (running sum:   2932058, n_ok: 275)
  sample  276:    10726  (running sum:   2942784, n_ok: 276)
  sample  277:    10711  (running sum:   2953495, n_ok: 277)
