:0 lp:13347
[1786047588.191389337] t:209.37s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13337
[1786047588.291079337] t:209.47s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13351
[1786047588.391271337] t:209.57s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13403
[1786047588.491501337] t:209.67s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13373
[1786047588.591420337] t:209.77s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13334
[1786047588.691424337] t:209.87s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13345
[1786047588.791250337] t:209.97s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13336
[1786047588.891199337] t:210.07s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13365
[1786047588.991497337] t:210.17s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13345
[1786047589.091399337] t:210.27s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13328
[1786047589.191433337] t:210.37s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13345
[1786047589.291404337] t:210.47s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13345
[1786047589.391398337] t:210.57s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13347
[1786047589.491200337] t:210.67s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13355
[1786047589.591402337] t:210.77s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13370
[1786047589.691470337] t:210.87s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13353
[1786047589.791304337] t:210.97s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13324
[1786047589.891377337] t:211.07s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13342
[1786047589.991308337] t:211.17s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13352
[1786047590.091483337] t:211.27s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13320
[1786047590.289044337] [watchdog] ping result: 0 | ros_connected: 1 | heap: 178732
[1786047590.292686337] t:211.47s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:1ms ret:0 lp:13196
[1786047590.391498337] t:211.57s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13164
